id,Domain,Goal,Plan
10,"[[-111.49618103513473, 40.6424455], [-111.992996, 40.619499]]","House at 343 Park Avenue (Park City, UT) to South Valley Regional Airport (SALT LAKE CITY, UT)","[['Drive north on Park Avenue.', 'Turn right onto 4th Street.', 'Turn left onto Main Street.', 'Turn left onto Heber Avenue.', 'Turn right onto Park Avenue.', 'Turn right onto UT 248/Kearns Boulevard.', 'Turn left to take the US 40 West ramp toward I 80.', 'Take exit 1 onto I 80 West.', 'You have arrived at your destination.'], ['Drive north on Park Avenue.', 'Turn right onto 4th Street.', 'Turn left onto Main Street.', 'Turn left onto Heber Avenue.', 'Turn right onto Park Avenue.', 'Turn right onto UT 248/Kearns Boulevard.', 'Turn left to take the US 40 West ramp toward I 80.', 'Take exit 1 onto I 80 West.', 'You have arrived at your destination.'], ['Drive north on Park Avenue.', 'Turn right onto 4th Street.', 'Turn left onto Main Street.', 'Turn left onto Heber Avenue.', 'Turn right onto Park Avenue.', 'Turn right onto UT 248/Kearns Boulevard.', 'Turn left to take the US 40 West ramp toward I 80.', 'Take exit 1 onto I 80 West.', 'You have arrived at your destination.']]"
11,"[[-122.69170999553783, 45.52595425], [-122.68371458440902, 45.51559245]]","Temple Beth Israel (Portland, OR) to St. James Lutheran Church (Portland, OR)","[['Drive south.', 'Turn left onto Northwest Flanders Street.', 'Turn right onto Northwest 19th Avenue.', 'Turn left onto Northwest Couch Street.', 'Turn right onto Northwest 17th Avenue.', 'Turn left onto West Burnside Street.', 'Bear right onto Southwest Washington Street.', 'Turn right onto Southwest 15th Avenue.', 'Turn left onto Southwest Yamhill Street.', 'Turn right onto Southwest 13th Avenue.', 'Turn left onto Southwest Salmon Street.', 'Turn right onto Southwest Park Avenue.', 'You have arrived at your destination.'], ['Drive south.', 'Turn right onto Northwest Flanders Street.', 'Turn left onto Northwest 20th Avenue.', 'Turn left onto Southwest Morrison Street.', 'Turn right onto Southwest 17th Avenue.', 'Turn left onto Southwest Yamhill Street.', 'Turn right onto Southwest 13th Avenue.', 'Turn left onto Southwest Salmon Street.', 'Turn right onto Southwest Park Avenue.', 'You have arrived at your destination.'], ['Drive south.', 'Turn right onto Northwest Flanders Street.', 'Turn left onto Northwest 20th Avenue.', 'Turn left onto West Burnside Street.', 'Bear right onto Southwest Alder Street.', 'Turn right onto Southwest 15th Avenue.', 'Turn left onto Southwest Yamhill Street.', 'Turn right onto Southwest 13th Avenue.', 'Turn left onto Southwest Salmon Street.', 'Turn right onto Southwest Park Avenue.', 'You have arrived at your destination.']]"
12,"[[-87.65307378176723, 41.867065], [-87.81740009391797, 41.8324979]]","St. Ignatius College (Chicago, IL) to Tomek, F.F., House (Riverside, IL)","[['Drive east on West Roosevelt Road.', 'Make a left U-turn to stay on West Roosevelt Road.', 'Turn right onto South Racine Avenue.', 'Turn left onto West Van Buren Street.', 'Take the I 290 West ramp toward Eisenhower Expressway.', 'Take exit 23A toward Austin Boulevard.', 'Turn left onto South Austin Boulevard.', 'Turn right onto West 16th Street.', 'Turn left onto Oak Park Avenue.', 'Turn right onto Riverside Drive.', 'Keep right to take Longcommon Road.', 'Turn right onto Bartram Road.', 'You have arrived at your destination.'], ['Drive east on West Roosevelt Road.', 'Make a left U-turn to stay on West Roosevelt Road.', 'Turn left after 2813 meters or 197-240 seconds.', 'Turn left onto South Western Avenue.', 'Turn right onto West Ogden Avenue.', 'Turn left onto South Campbell Avenue.', 'Turn right onto West Ogden Avenue/Hist US 66. Continue on West Ogden Avenue.', 'Turn right onto West 25th Place.', 'Turn left onto Riverside Drive.', 'Keep right to take Longcommon Road.', 'Turn right onto Bartram Road.', 'You have arrived at your destination.'], ['Drive east on West Roosevelt Road.', 'Make a left U-turn to stay on West Roosevelt Road.', 'Bear left onto West Ogden Avenue/Hist US 66. Continue on West Ogden Avenue.', 'Turn right onto West 25th Place.', 'Turn left onto Riverside Drive.', 'Keep right to take Longcommon Road.', 'Turn right onto Bartram Road.', 'You have arrived at your destination.']]"
13,"[[-70.9068, 42.5111], [-71.20334080407284, 42.1930531]]","NORTH SHORE MEDICAL CENTER  - SALEM CAMPUS (SALEM, MA) to Day, Fred Holland, House (Norwood, MA)","[['Drive northwest.', 'Keep left at the fork.', 'Turn left onto Highland Avenue/MA 107.', 'Turn left onto Willson Street.', 'Turn right onto Jefferson Avenue.', 'Keep right to stay on Jefferson Avenue.', 'Bear right onto MA 1A/Loring Avenue. Continue on MA 1A.', 'Turn left onto MA 129/Eastern Avenue. Continue on Eastern Avenue.', 'Turn right onto Lynn Shore Drive.', 'Exit the roundabout onto Lynnway/Carroll Parkway.', 'Exit the roundabout onto MA 1A/Veterans of Foreign Wars Parkway.', 'Exit the roundabout onto MA 1A/Lee Burbank Highway.', 'Keep right to take MA 16.', 'Take the US 1 South ramp toward Boston.', 'Take exit 16A on the right onto I 90 West toward Mass Pike/South Station.', 'Keep left to take I 90 Toll West toward Albany Street.', 'Keep right to take I 90 West toward Albany Street.', 'Keep left to take Albany Street toward Albany Street.', 'Turn right onto Malden Street.', 'Bear left onto West Dedham Street.', 'Turn left onto Shawmut Avenue.', 'Turn right onto Washington Street.', 'Turn right onto MA 203/Arborway. Continue on Arborway.', 'Exit the roundabout onto Centre Street.', 'Keep right to take Veterans of Foreign Wars Parkway.', 'Exit the roundabout onto Veterans of Foreign Wars Parkway.', 'Keep right at the fork.', 'Stay straight to take the ramp.', 'Keep right to take Providence Highway.', 'Turn right onto Everett Street.', 'Turn left onto Upland Road/MA 1A. Continue on MA 1A.', 'Turn right onto Vernon Street.', 'Turn left onto Bullard Street.', 'Turn left onto Day Street.', 'You have arrived at your destination.'], ['Drive northwest.', 'Keep left at the fork.', 'Turn left onto Highland Avenue/MA 107.', 'Turn left onto Willson Street.', 'Turn right onto Jefferson Avenue.', 'Keep right to stay on Jefferson Avenue.', 'Bear right onto MA 1A/Loring Avenue. Continue on MA 1A.', 'Turn left onto MA 129/Eastern Avenue. Continue on Eastern Avenue.', 'Turn right onto Lynn Shore Drive.', 'Exit the roundabout onto Lynnway/Carroll Parkway.', 'Exit the roundabout onto MA 1A/Veterans of Foreign Wars Parkway.', 'Exit the roundabout onto MA 1A/Lee Burbank Highway.', 'Keep left to stay on MA 1A.', 'Keep right to stay on MA 1A toward I 93 North/Sumner Tunnel.', 'Keep right to take MA 3 North toward Storrow Drive.', 'Keep right to take MA 3 North toward Storrow Drive.', 'Take the exit toward Fenway/Longwood Medical Area/Fenway Park/Harvard Vanguard Medical Associates.', 'Keep left to take Charlesgate toward Longwood Medical Area/Fenway/Fenway Park/Harvard Vanguard Medical Associates.', 'Turn left onto MA 9/Washington Street.', 'Turn right onto Pond Avenue.', 'Exit the roundabout onto Chestnut Street.', 'Turn right onto Perkins Street.', 'Turn left onto Parkman Drive.', 'Bear right toward Parkman Drive.', 'Exit the roundabout onto Pond Street.', 'Keep left to take Arborway.', 'Exit the roundabout onto Centre Street.', 'Keep right to take Veterans of Foreign Wars Parkway.', 'Exit the roundabout onto Veterans of Foreign Wars Parkway.', 'Keep right at the fork.', 'Stay straight to take the ramp.', 'Keep right to take Providence Highway.', 'Turn right onto Everett Street.', 'Turn left onto Upland Road/MA 1A. Continue on MA 1A.', 'Turn right onto Vernon Street.', 'Turn left onto Bullard Street.', 'Turn left onto Day Street.', 'You have arrived at your destination.'], ['Drive northwest.', 'Keep left at the fork.', 'Turn left onto Highland Avenue/MA 107.', 'Turn left onto Willson Street.', 'Turn right onto Jefferson Avenue.', 'Keep right to stay on Jefferson Avenue.', 'Bear right onto MA 1A/Loring Avenue. Continue on MA 1A.', 'Turn left onto MA 129/Eastern Avenue. Continue on Eastern Avenue.', 'Turn right onto Lynn Shore Drive.', 'Exit the roundabout onto Lynnway/Carroll Parkway.', 'Exit the roundabout onto MA 1A/Veterans of Foreign Wars Parkway.', 'Exit the roundabout onto MA 1A/Lee Burbank Highway.', 'Keep left to stay on MA 1A.', 'Keep right to stay on MA 1A toward I 93 North/Sumner Tunnel.', 'Keep right to take MA 3 North toward Storrow Drive.', 'Keep left to take MA 28 North toward Leverett Circle/North Station.', ""Keep left to take MA 28 North toward O'Brien Highway."", 'Continue on MA 28/Charles River Dam Road.', 'Turn left onto MA 28/Storrow Drive. Continue on Storrow Drive.', 'Take the exit toward Fenway/Longwood Medical Area/Fenway Park/Harvard Vanguard Medical Associates.', 'Keep left to take Charlesgate toward Longwood Medical Area/Fenway/Fenway Park/Harvard Vanguard Medical Associates.', 'Turn left onto MA 9/Washington Street.', 'Turn right onto Pond Avenue.', 'Exit the roundabout onto Chestnut Street.', 'Turn right onto Perkins Street.', 'Turn left onto Parkman Drive.', 'Bear right toward Parkman Drive.', 'Exit the roundabout onto Pond Street.', 'Keep left to take Arborway.', 'Exit the roundabout onto Centre Street.', 'Keep right to take Veterans of Foreign Wars Parkway.', 'Exit the roundabout onto Veterans of Foreign Wars Parkway.', 'Keep right at the fork.', 'Stay straight to take the ramp.', 'Keep right to take Providence Highway.', 'Turn right onto Everett Street.', 'Turn left onto Upland Road/MA 1A. Continue on MA 1A.', 'Turn right onto Vernon Street.', 'Turn left onto Bullard Street.', 'Turn left onto Day Street.', 'You have arrived at your destination.']]"
14,"[[-84.88145572678758, 38.199002530819214], [-85.613514, 38.249339]]","Liberty Hall (Frankfort, KY) to Oxmoor (Louisville, KY)","[['Drive northeast on Wilkinson Street.', 'Turn left onto US 127/US 421/West Frankfort Connector. Continue on US 127.', 'Take the I 64 West ramp on the right.', 'You have arrived at your destination.'], ['Drive northeast on Wilkinson Street.', 'Turn left onto US 127/US 421/West Frankfort Connector.', 'Turn right onto Bald Knob Road/US 421.', 'Turn left onto Dry Ridge Road/KY 12.', 'Turn left to stay on Dry Ridge Road/KY 12.', 'Turn right onto Dry Ridge Road/KY 12. Continue on KY 12.', 'Turn right onto Bagdad Road/KY 12. Continue on KY 12.', 'Turn right onto Bagdad Road/KY 12.', 'Turn left onto Boone Station Road/KY 55 Business.', 'Take the I 64 West ramp on the right.', 'Keep right to take exit 12 onto I 264 East toward Watterson Expressway.', 'Keep right to take I 264 East toward Watterson Expressway.', 'Keep right to take exit 20A onto Shelbyville Road toward Middletown.', 'Keep right to take Shelbyville Road toward Middletown.', 'You have arrived at your destination.'], ['Drive northeast on Wilkinson Street.', 'Turn left onto US 127/US 421/West Frankfort Connector.', 'Turn right onto Bald Knob Road/US 421.', 'Turn left onto Dry Ridge Road/KY 12.', 'Turn left to stay on Dry Ridge Road/KY 12.', 'Turn right onto Dry Ridge Road/KY 12. Continue on KY 12.', 'Turn right onto Bagdad Road/KY 12. Continue on KY 12.', 'Turn right onto Bagdad Road/KY 12.', 'Turn right after 7663 meters or 420-513 seconds.', 'Turn left onto Cropper Road/KY 43.', 'Turn left onto Boone Station Road/KY 55 Business.', 'Take the I 64 West ramp on the right.', 'Keep right to take exit 12 onto I 264 East toward Watterson Expressway.', 'Keep right to take I 264 East toward Watterson Expressway.', 'Keep right to take exit 20A onto Shelbyville Road toward Middletown.', 'Keep right to take Shelbyville Road toward Middletown.', 'You have arrived at your destination.']]"
15,"[[-80.4846287289516, 35.665857], [-81.5791931158626, 35.74707833732831]]","Boyden High School (Salisbury, NC) to Waldensian Presbyterian Church (Valdese, NC)","[['Drive east on Taylor Street.', 'Turn right onto Caldwell Road.', 'Turn right onto Lincolnton Road.', 'Turn right onto US 70 West/US 601/Jake Alexander Boulevard West. Continue on US 601/Jake Alexander Boulevard West.', 'Turn left onto US 70 West/Statesville Boulevard.', 'Bear right onto Salisbury Road.', 'Turn left onto Wall Street.', 'Turn right onto US 70/Garner Bagnal Boulevard.', 'Make a left U-turn onto US 64 East/NC 90/West Front Street.', 'Turn right to take the I 40 ramp.', 'You have arrived at your destination.'], ['Drive east on Taylor Street.', 'Turn right onto Caldwell Road.', 'Turn right onto Lincolnton Road.', 'Turn right onto Mooresville Road/NC 150.', 'Turn right onto Sherrills Ford Road.', 'Exit the roundabout onto Sherrills Ford Road.', 'Turn right onto State Road 2400.', 'Turn left onto Mazeppa Road.', 'Turn right onto Triplett Road.', 'Turn left onto Winthrow Creek Road.', 'Turn left onto Shinnville Road.', 'Turn right onto Weathers Creek Road.', 'Turn left onto Houston Road.', 'Turn right onto South Main Street/US 21/NC 115. Continue on US 21/NC 115.', 'Turn left onto Old Mountain Road.', 'Turn left to take the I 40 ramp.', 'You have arrived at your destination.'], ['Drive east on Taylor Street.', 'Turn right onto Caldwell Road.', 'Turn right onto Lincolnton Road.', 'Turn right onto Mooresville Road/NC 150.', 'Turn right onto Sherrills Ford Road.', 'Exit the roundabout onto Sherrills Ford Road.', 'Turn right after 16230 meters or 596-728 seconds.', 'Turn left after 20 meters or 4-5 seconds.', 'Turn right onto NC 801 Highway/NC 801. Continue on NC 801.', 'Turn right onto State Road 2400.', 'Turn left onto Mazeppa Road.', 'Turn right onto Triplett Road.', 'Turn left onto Winthrow Creek Road.', 'Turn left onto Shinnville Road.', 'Turn right onto Weathers Creek Road.', 'Turn left onto Houston Road.', 'Turn right onto South Main Street/US 21/NC 115. Continue on US 21/NC 115.', 'Turn left onto Old Mountain Road.', 'Turn left to take the I 40 ramp.', 'You have arrived at your destination.']]"
16,"[[-77.47021159, 41.13159873], [-77.84852, 40.849374]]","LOCK HAVEN HOSPITAL (LOCK HAVEN, PA) to State College Regional Airport (STATE COLLEGE, PA)","[['Drive east.', 'Turn right after 106 meters or 14-17 seconds.', 'Turn left onto Nelson Street.', 'Turn left onto West 4th Street.', 'Turn right onto Allison Street.', 'Turn right onto High Street/PA 150. Continue on PA 150.', 'Turn left to take the US 220 ramp toward State College.', 'Keep right to take US 220 Southbound toward State College.', 'Take exit 107 on the right onto PA 477 toward Salona.', 'Turn right onto Long Run Road/PA 477.', 'Turn left onto Nittany Valley Drive/PA 64.', 'Turn right to take the ramp.', 'You have arrived at your destination.'], ['Drive east.', 'Turn right after 106 meters or 14-17 seconds.', 'Turn left onto Nelson Street.', 'Turn left onto West 4th Street.', 'Turn right onto Allison Street.', 'Turn right onto High Street/PA 150.', 'Turn left onto Chestnut Street.', 'Turn left onto Fox Hill Road.', 'Turn right after 563 meters or 27-33 seconds.', 'Keep right at the fork.', 'Turn right after 189 meters or 25-30 seconds.', 'You have arrived at your destination.'], ['Drive east.', 'Turn right after 106 meters or 14-17 seconds.', 'Turn left onto Nelson Street.', 'Turn left onto West 4th Street.', 'Turn right onto Allison Street.', 'Turn right onto High Street/PA 150. Continue on PA 150.', 'Bear left after 5230 meters or 244-298 seconds.', 'Turn right onto Level Bottom.', 'Turn left onto Eagle Valley Road/PA 150.', 'Turn left onto Chestnut Street.', 'Turn left onto Fox Hill Road.', 'Turn right after 563 meters or 27-33 seconds.', 'Keep right at the fork.', 'Turn right after 189 meters or 25-30 seconds.', 'You have arrived at your destination.']]"
17,"[[-77.41960442797894, 39.39557824679121], [-77.40430942188273, 39.43419178977487]]","Guilford (Frederick, MD) to Rose Hill Manor (Frederick, MD)","[['Drive northeast on New Design Road.', 'Turn left onto South Market Street/MD 355.', 'You have arrived at your destination.'], ['Drive northeast on New Design Road.', 'Turn left onto East Street.', 'Exit the roundabout onto East Street.', 'Turn left onto East 16th Street.', 'Turn right onto North Market Street/MD 355.', 'You have arrived at your destination.'], ['Drive northeast on New Design Road.', 'Turn left onto East Street.', 'Exit the roundabout onto East Street.', 'Turn left onto East 16th Street.', 'Turn right onto North Market Street/MD 355.', 'You have arrived at your destination.']]"
18,"[[-70.81030038629915, 42.665585978181824], [-71.093445, 42.411392]]","Giddings-Burnham House (Ipswich, MA) to Tufts, Peter, House (Medford, MA)","[['Drive northwest on Argilla Road.', 'Turn right onto County Road/MA 1A/MA 133.', 'Bear left onto South Main Street/MA 1A/MA 133.', 'Turn left onto Market Street.', 'Bear left onto Topsfield Road.', 'Turn left onto Boston Street/US 1. Continue on US 1.', 'Take the I 95 South ramp toward Boston.', 'Keep right to take exit 66 onto US 1 toward Boston.', 'Bear right toward Lynn Fells Parkway/Melrose/Stoneham.', 'Turn left onto Lincoln Street.', 'Turn right onto Upham Street.', 'Turn left onto Main Street.', 'Turn right onto Clifton Street.', 'Turn left onto Hawthorne Street.', 'Turn right onto Maple Street.', 'Turn left onto Highland Avenue.', 'Turn right onto Elm Street.', 'Turn left onto Spring Street.', 'Turn left onto Riverside Avenue.', 'You have arrived at your destination.'], ['Drive northwest on Argilla Road.', 'Turn left onto County Road/MA 1A/MA 133. Continue on MA 1A.', 'Turn right onto Monument Street.', 'Bear right onto Cherry Street.', 'Turn left onto Locust Street/MA 35.', 'Turn left onto Maple Street/MA 35.', 'Turn right onto Hobart Street.', 'Turn right onto Centre Street.', 'Turn left to take the US 1 North ramp toward I 95/Topsfield.', 'Keep left to take I 95 South toward Waltham/Boston.', 'Keep right to take exit 66 onto US 1 toward Boston.', 'Bear right toward Lynn Fells Parkway/Melrose/Stoneham.', 'Turn left onto Lincoln Street.', 'Turn right onto Upham Street.', 'Turn left onto Main Street.', 'Turn right onto Clifton Street.', 'Turn left onto Hawthorne Street.', 'Turn right onto Maple Street.', 'Turn left onto Highland Avenue.', 'Turn right onto Elm Street.', 'Turn left onto Spring Street.', 'Turn left onto Riverside Avenue.', 'You have arrived at your destination.'], ['Drive northwest on Argilla Road.', 'Turn left onto County Road/MA 1A/MA 133. Continue on MA 1A.', 'Turn right onto Monument Street.', 'Bear right onto Cherry Street.', 'Turn left onto Locust Street/MA 35.', 'Turn left onto Maple Street/MA 35.', 'Turn right onto Hobart Street.', 'Turn right onto Centre Street.', 'Turn left to take the US 1 North ramp toward I 95/Topsfield.', 'Keep left to take I 95 South toward Waltham/Boston.', 'Keep right to take exit 66 onto US 1 toward Boston.', 'Bear right toward Lynn Fells Parkway/Melrose/Stoneham.', 'Turn left onto Lincoln Street.', 'Turn right onto Upham Street.', 'Turn left onto Main Street.', 'Turn right onto Clifton Street.', 'Turn left onto Hawthorne Street.', 'Turn right onto Maple Street.', 'Turn left onto Highland Avenue.', 'Turn right onto Elm Street.', 'Turn left onto Spring Street.', 'Turn left onto Riverside Avenue.', 'You have arrived at your destination.']]"
19,"[[-122.53800201416016, 48.79280090332031], [-122.48840124489796, 48.755872775510205]]","Bellingham International Airport (BELLINGHAM, WA) to Roth, Lottie, Block (Bellingham, WA)","[['Drive south on West Bakerview Road.', 'Turn right onto Airport Way.', 'Turn left onto Airport Drive.', 'Turn right onto Maplewood Avenue.', 'Turn right onto Northwest Avenue.', 'Turn right onto Broadway.', 'Turn left onto West Holly Street.', 'You have arrived at your destination.'], ['Drive south on West Bakerview Road.', 'Turn right onto Williamson Way.', 'Turn right onto Airport Drive.', 'Turn left onto Marine Drive.', 'Bear right onto Eldridge Avenue.', 'You have arrived at your destination.'], ['Drive south on West Bakerview Road.', 'Turn right onto Williamson Way.', 'Turn right onto Airport Drive.', 'Turn left onto Marine Drive.', 'Turn left after 1433 meters or 80-97 seconds.', 'Turn right after 15 meters or 4-5 seconds.', 'Turn left onto Marine Drive.', 'Bear right onto Eldridge Avenue.', 'You have arrived at your destination.']]"
20,"[[-72.2089, 42.5855], [-71.1989, 42.4883]]","ATHOL MEMORIAL HOSPITAL (ATHOL, MA) to LAHEY CLINIC MEDICAL CENTER (BURLINGTON, MA)","[['Drive southeast.', 'Turn left after 133 meters or 17-21 seconds.', 'Turn right after 37 meters or 5-6 seconds.', 'Turn right onto Main Street/MA 2A/MA 32. Continue on MA 2A.', 'Turn left to take the MA 2 ramp.', 'Keep left to stay on MA 2.', 'Take exit 113B on the right onto I 495 North toward Lowell.', 'Keep left to take I 495 North toward Lowell.', 'Take exit 89A-B-C on the right onto US 3 toward Burlington.', 'Keep right to take exit 89A onto US 3 South toward Burlington.', 'Take exit 73 on the right onto MA 62 toward Burlington.', 'Turn left onto Burlington Road/MA 62.', 'Turn right onto Middlesex Turnpike.', 'Turn left onto Terrace Hall Avenue.', 'Turn right onto Sandy Brook Road.', 'Turn left onto Brown Avenue.', 'Turn right onto Lexington Street.', 'Turn left onto South Bedford Street.', 'Turn left onto Burlington Mall Road.', 'Turn right onto Burlington Woods Drive.', 'Turn right after 64 meters or 9-11 seconds.', 'Turn left after 130 meters or 46-56 seconds.', 'You have arrived at your destination.'], ['Drive southeast.', 'Turn left after 133 meters or 17-21 seconds.', 'Turn right after 37 meters or 5-6 seconds.', 'Turn right onto Main Street/MA 2A/MA 32. Continue on MA 2A.', 'Turn left to take the MA 2 ramp.', 'Keep right to take exit 101 onto I 190 South toward Worcester.', 'Take exit 7 on the right onto MA 117 toward Leominster/Lancaster.', 'Turn left onto New Lancaster Road/MA 117. Continue on MA 117.', 'Keep left to stay on MA 117.', 'Keep left to stay on MA 117.', 'Turn left onto Pompositticut Street.', 'Turn left onto Powder Mill Road/MA 62. Continue on MA 62.', 'Bear right onto MA 2/MA 2A/Concord Turnpike.', 'Take exit 125 on the right onto MA 2A East toward Concord/Lincoln.', 'Keep left to stay on MA 2A toward Concord/Lincoln.', ""Turn left onto Mary's Way/MA 2A."", 'Turn right onto Concord Turnpike/MA 2A. Continue on MA 2A.', 'Make a left U-turn onto Marrett Road/MA 2A.', 'Stay straight to take the I 95 North ramp toward Portsmouth New Hampshire.', 'Take exit 51A on the right onto US 3 South toward Winchester.', 'Turn right onto Wayside Road.', 'Turn right onto South Bedford Street.', 'Turn right onto Burlington Woods Drive.', 'Make a sharp left to stay on Burlington Woods Drive.', 'Turn right after 6 meters or 7-8 seconds.', 'Turn left after 74 meters or 29-36 seconds.', 'Turn right after 154 meters or 53-65 seconds.', 'You have arrived at your destination.'], ['Drive southeast.', 'Turn left after 133 meters or 17-21 seconds.', 'Turn right after 37 meters or 5-6 seconds.', 'Turn right onto Main Street/MA 2A/MA 32. Continue on MA 2A.', 'Turn left to take the MA 2 ramp.', 'Keep right to take exit 101 onto I 190 South toward Worcester.', 'Take exit 7 on the right onto MA 117 toward Leominster/Lancaster.', 'Turn left onto New Lancaster Road/MA 117. Continue on MA 117.', 'Keep left to stay on MA 117.', 'Keep left to stay on MA 117.', 'Turn left onto Lantern Lane.', 'Turn right to stay on Lantern Lane.', 'Bear left onto Great Road/MA 117.', 'Turn left onto Pompositticut Street.', 'Turn left onto Powder Mill Road/MA 62. Continue on MA 62.', 'Bear right onto MA 2/MA 2A/Concord Turnpike.', 'Take exit 125 on the right onto MA 2A East toward Concord/Lincoln.', 'Keep left to stay on MA 2A toward Concord/Lincoln.', ""Turn left onto Mary's Way/MA 2A."", 'Turn right onto Concord Turnpike/MA 2A. Continue on MA 2A.', 'Make a left U-turn onto Marrett Road/MA 2A.', 'Stay straight to take the I 95 North ramp toward Portsmouth New Hampshire.', 'Take exit 51A on the right onto US 3 South toward Winchester.', 'Turn right onto Wayside Road.', 'Turn right onto South Bedford Street.', 'Turn right onto Burlington Woods Drive.', 'Make a sharp left to stay on Burlington Woods Drive.', 'Turn right after 6 meters or 7-8 seconds.', 'Turn left after 74 meters or 29-36 seconds.', 'Turn right after 154 meters or 53-65 seconds.', 'You have arrived at your destination.']]"
